"PMDBID","PRIDE.ID","PMDB.tissue","PRIDE.tissues","title","projectDescription","publicationDate","submissionType","numAssays","species","instrumentNames","ptmNames","projectTags"
"PMDX000561","PXD000561","spine","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","T cells","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","testis","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000561","PXD000561","urinary bladder","prostate gland;gut;testis;helper T-lymphocyte;kidney;retina;pancreas;adrenal gland;spinal cord;natural killer cell;cytotoxic T-lymphocyte;liver;urinary bladder;gall bladder;brain;heart;lung;ovary;blood platelet;frontal lobe;B-lymphocyte;colon;placenta;monocyte;rectum;esophagus","A draft map of the human proteome","The availability of human genome sequence has transformed biomed","2014-04-23","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;LTQ Orbitrap Elite","L-methionine sulfoxide;iodoacetamide derivatized residue;acetylated residue",""
"PMDX000742","PXD000757","brain","brain","Medial globus pallidus proteome","In order to analyse the globus pallidus proteome in a large-scal","2018-10-19","PARTIAL","0","Homo sapiens (Human)","Q TRAP","iodoacetamide derivatized residue;monohydroxylated residue",""
"PMDX000742","PXD000755","brain","brain","Lateral globus pallidus proteome","In order to analyse the globus pallidus proteome in a large-scal","2018-10-19","PARTIAL","0","Homo sapiens (Human)","Q TRAP","iodoacetamide derivatized residue;monohydroxylated residue",""
"PMDX000742","PXD000749","brain","brain","putamen proteme","In order to analyse the putamen proteome in a large-scale format","2018-10-19","PARTIAL","0","Homo sapiens (Human)","Q TRAP","iodoacetamide derivatized residue;monohydroxylated residue",""
"PMDX000742","PXD000742","brain","brain","Caudate nucleus proteome","In order to analyse thecaudate nucleus proteome in a large-scale","2018-10-19","PARTIAL","0","Homo sapiens (Human)","Q TRAP","iodoacetamide derivatized residue;monohydroxylated residue",""
"PMDX000805","PXD001496","brain","brain","Proteomic analysis of substantia nigra","Proteomic analysis of human substantia nigra using protein and p","2015-08-17","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","iodoacetamide derivatized residue;monohydroxylated residue","Biomedical"
"PMDX000805","PXD000805","brain","brain","Nucleus basalis of meynert proteome","In order to analyse the Nucleus Basalis of Meynert proteome in a","2015-08-17","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","iodoacetamide derivatized residue;monohydroxylated residue","Biomedical"
"PMDX001038","PXD001038","brain","brain","Differentially embedded glioblastoma tumor protein quantitation","Glioblastoma multiforme (GBM) is the most aggressive malignant p","2014-07-09","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","No PTMs are included in the dataset","Biomedical"
"PMDX001180","PXD001180","brain","brain","Human brain phosphoproteome analyzed by refined phosphopeptide enrichment and high resolution LC-MS/MS","Alzheimer’s disease (AD) is the most common form of dementia, ch","2015-01-28","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Elite","phosphorylated residue","Biological"
"PMDX001255","PXD001255","brain","brain","Sequential elution interactome analysis of Mind bomb 1 and a novel role in dendritic spine outgrowth","Mind bomb 1 (Mib1) is an E3 ubiquitin-ligase that is essential f","2016-07-06","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Elite","TMT6plex-126 reporter+balance reagent acylated residue","Biomedical"
"PMDX001352","PXD001352","non tissue","liver;brain;small intestine mucosa;erythrocyte","Absolute protein quantification allows differentiation of cell specific metabolic routes and functions","Total protein approach (TPA) is a proteomic method which allows ","2014-12-15","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive","phosphorylated residue;acetylated residue","Biological"
"PMDX001352","PXD001352","GI tract","liver;brain;small intestine mucosa;erythrocyte","Absolute protein quantification allows differentiation of cell specific metabolic routes and functions","Total protein approach (TPA) is a proteomic method which allows ","2014-12-15","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive","phosphorylated residue;acetylated residue","Biological"
"PMDX001352","PXD001352","liver","liver;brain;small intestine mucosa;erythrocyte","Absolute protein quantification allows differentiation of cell specific metabolic routes and functions","Total protein approach (TPA) is a proteomic method which allows ","2014-12-15","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive","phosphorylated residue;acetylated residue","Biological"
"PMDX001353","PXD001353","brain","brain","Truncated Tau","Tau is a microtubule-associated protein that ensures neuronal sh","2015-05-15","COMPLETE","24","Homo sapiens (Human)","LTQ FT","iodoacetamide derivatized residue;deaminated residue;dehydrated residue;thioacylation of primary amines - site N-term;monohydroxylated residue;thioacylation of primary amines - site K;acetylated residue","Biomedical"
"PMDX001398","PXD001398","brain","brain","Accessibilome of Human Glioblastoma","Functional targeted therapy has unfortunately failed to improve ","2014-10-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Bruker Daltonics esquire series","iodoacetamide derivatized residue;monohydroxylated residue","Biomedical"
"PMDX001468","PXD001468","non tissue","kidney;brain","A mass-tolerant database search identifies a large proportion of unassigned spectra in shotgun proteomics as modified peptides","Less than half of all MS/MS spectra acquired in shotgun proteomi","2015-06-03","PARTIAL","0","Homo sapiens (Human)","Q Exactive","formylated residue;carboxylated residue;homoserine lactone;S-pyridylethyl-L-cysteine;deaminated residue;monomethylated residue;amidated residue;deamidated residue;methylthiolated residue;(R)-5-oxo-1,4-tetrahydrothiazine-3-carboxylic acid;iodoacetic acid derivatized residue;farnesylated residue;biotinylated residue;iodoacetamide derivatized residue;phosphorylated residue;dehydrated residue;monohydroxylated residue;dihydroxylated residue;monosodium salt;sulfated residue;carbamoylated residue;acetylated residue;homoserine","Technical;Biomedical"
"PMDX001468","PXD001468","kidney","kidney;brain","A mass-tolerant database search identifies a large proportion of unassigned spectra in shotgun proteomics as modified peptides","Less than half of all MS/MS spectra acquired in shotgun proteomi","2015-06-03","PARTIAL","0","Homo sapiens (Human)","Q Exactive","formylated residue;carboxylated residue;homoserine lactone;S-pyridylethyl-L-cysteine;deaminated residue;monomethylated residue;amidated residue;deamidated residue;methylthiolated residue;(R)-5-oxo-1,4-tetrahydrothiazine-3-carboxylic acid;iodoacetic acid derivatized residue;farnesylated residue;biotinylated residue;iodoacetamide derivatized residue;phosphorylated residue;dehydrated residue;monohydroxylated residue;dihydroxylated residue;monosodium salt;sulfated residue;carbamoylated residue;acetylated residue;homoserine","Technical;Biomedical"
"PMDX001565","PXD001565","non tissue","colon;brain","Evaluation of phospho-tyrosine antibodies for label-free phosphoproteomics","In the past decade multiple tyrosine kinase inhibitors (TKIs) ha","2015-12-09","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;phosphorylated residue;monohydroxylated residue;acetylated residue","Technical"
"PMDX001565","PXD001565","large intestine","colon;brain","Evaluation of phospho-tyrosine antibodies for label-free phosphoproteomics","In the past decade multiple tyrosine kinase inhibitors (TKIs) ha","2015-12-09","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;phosphorylated residue;monohydroxylated residue;acetylated residue","Technical"
"PMDX001778","PXD001778","non tissue","brain","Quantitative Proteomics Reveals Metabolic Differences in Homing and Non-Homing Glioma Stem Cell Xenografts and Stromal Cells","Glioblastoma is the most common and most devastating adult prima","2016-02-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse);Homo sapiens/Mus musculus xenograft","LTQ Orbitrap Elite","iodoacetamide derivatized residue;monohydroxylated residue","Biomedical"
"PMDX001987","PXD001987","brain","brain","TMT-labeled quantitative protein profiling of hippocampus during human aging","Human hippocampus is one of the critical brain regions affected ","2016-04-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","TMT6plex-126 reporter+balance reagent acylated residue","Biological;Biomedical"
"PMDX002448","PXD002448","brain","brain","Composition of Rosenthal fibers in Alexander disease patients and mouse models","Alexander disease (AxD) is a fatal neurodegenerative disorder ch","2016-05-23","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","TripleTOF 5600;Q Exactive","iTRAQ8plex-116 reporter+balance reagent acylated residue;iodoacetamide derivatized residue;monohydroxylated residue","Biomedical"
"PMDX002516","PXD002516","brain","brain","Human Brain LC-MS/MS","Brian Protein Deamidation Associated with Amyloidosis Revealed b","2016-08-24","PARTIAL","0","Homo sapiens (Human)","Q Exactive","deamidated residue","Biomedical"
"PMDX002528","PXD002528","brain","brain","Inferior Temporal Gyrus in Human Ageing: a Quantitative Protein Profiling Work based on Chinese Human Brain Bank","The temporal lobe is the cerebral cortex with critical function.","2015-12-07","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biological;Biomedical"
"PMDX002614","PXD002614","non tissue","brain","Quantitative phosphoproteome analysis of glioblastoma stem cells","Glioblastoma is one of the most malignant brain tumors with poor","2016-01-13","COMPLETE","16","Homo sapiens (Human)","LTQ Orbitrap Velos","Carbamidomethyl;Phospho;Label:13C(6)15N(4);Acetyl;Oxidation;Gln->pyro-Glu;Label:13C(6)15N(2)","Biomedical"
